#ticks	median	decon
521 	 0.892546 	 -3.49067e-06
522 	 1.07188 	 -3.50663e-06
523 	 1.65509 	 -3.52306e-06
524 	 1.77296 	 -3.53967e-06
525 	 2.16911 	 -3.55599e-06
526 	 2.38469 	 -3.57195e-06
527 	 2.77616 	 -3.58821e-06
528 	 3.51153 	 -3.60525e-06
529 	 3.74378 	 -3.62306e-06
530 	 2.18601 	 -3.63915e-06
531 	 1.1934 	 -3.65579e-06
532 	 0.178042 	 -3.67476e-06
533 	 0.746649 	 -3.69081e-06
534 	 0.861155 	 -3.70778e-06
535 	 0.377512 	 -3.72502e-06
536 	 0.738053 	 -3.74223e-06
537 	 0.746464 	 -3.75975e-06
538 	 2.42179 	 -3.77646e-06
539 	 2.62986 	 -3.79489e-06
540 	 2.60271 	 -3.81169e-06
541 	 0.77365 	 -3.83011e-06
542 	 1.15094 	 -3.84775e-06
543 	 0.697024 	 -3.8661e-06
544 	 0.683623 	 -3.88412e-06
545 	 0.53858 	 -3.90193e-06
546 	 0.227233 	 -3.92113e-06
547 	 0.0715446 	 -3.93886e-06
548 	 -0.59796 	 -3.9577e-06
549 	 -0.251217 	 -3.97644e-06
550 	 -1.8658 	 -3.99545e-06
551 	 -0.516983 	 -4.01213e-06
552 	 -0.237535 	 -4.03381e-06
553 	 -0.749306 	 -4.05073e-06
554 	 0.0126801 	 -4.0692e-06
555 	 -1.1191 	 -4.08714e-06
556 	 -1.37172 	 -4.10658e-06
557 	 -0.299297 	 -4.12546e-06
558 	 0.794799 	 -4.14479e-06
559 	 1.82805 	 -4.1647e-06
560 	 2.57642 	 -4.18415e-06
561 	 2.91737 	 -4.20336e-06
562 	 2.36475 	 -4.22392e-06
563 	 1.93919 	 -4.24234e-06
564 	 2.3619 	 -4.26205e-06
565 	 1.60001 	 -4.2817e-06
566 	 2.47476 	 -4.30083e-06
567 	 2.01574 	 -4.31987e-06
568 	 1.37804 	 -4.33902e-06
569 	 2.03032 	 -4.36203e-06
570 	 2.23813 	 -4.38102e-06
571 	 1.6628 	 -4.40403e-06
572 	 3.31162 	 -4.42374e-06
573 	 3.01791 	 -4.44583e-06
574 	 2.57458 	 -4.46645e-06
575 	 2.69962 	 -4.48632e-06
576 	 3.33512 	 -4.5075e-06
577 	 2.53408 	 -4.52805e-06
578 	 1.97965 	 -4.54843e-06
579 	 2.01794 	 -4.56925e-06
580 	 -0.359952 	 -4.58999e-06
581 	 0.177525 	 -4.61141e-06
582 	 1.59735 	 -4.63231e-06
583 	 1.15969 	 -4.65457e-06
584 	 1.38748 	 -4.67634e-06
585 	 1.43945 	 -4.69812e-06
586 	 0.979012 	 -4.72045e-06
587 	 2.31398 	 -4.74373e-06
588 	 0.749205 	 -4.76519e-06
589 	 1.38621 	 -4.78713e-06
590 	 -0.994068 	 -4.80795e-06
591 	 -0.459185 	 -4.83108e-06
592 	 0.743444 	 -4.85484e-06
593 	 1.08314 	 -4.87741e-06
594 	 1.65852 	 -4.8995e-06
595 	 1.2909 	 -4.92239e-06
596 	 2.07179 	 -4.94544e-06
597 	 0.685835 	 -4.96833e-06
598 	 2.72262 	 -4.99121e-06
599 	 4.3899 	 -5.01426e-06
600 	 3.54634 	 -5.03826e-06
601 	 4.64388 	 -5.06179e-06
602 	 0.913994 	 -5.08515e-06
603 	 1.16627 	 -5.10899e-06
604 	 1.60907 	 -5.13379e-06
605 	 0.80732 	 -5.15683e-06
606 	 -0.172592 	 -5.17925e-06
607 	 -1.2423 	 -5.20372e-06
608 	 1.02036 	 -5.22931e-06
609 	 0.0322266 	 -5.25093e-06
610 	 0.427895 	 -5.277e-06
611 	 1.15951 	 -5.30306e-06
612 	 0.333263 	 -5.32548e-06
613 	 2.73304 	 -5.35361e-06
614 	 0.272202 	 -5.37745e-06
615 	 2.06385 	 -5.40209e-06
616 	 0.622019 	 -5.42736e-06
617 	 1.64573 	 -5.45343e-06
618 	 0.654385 	 -5.47854e-06
619 	 1.37766 	 -5.5027e-06
620 	 3.27058 	 -5.5294e-06
621 	 4.54346 	 -5.55674e-06
622 	 4.44283 	 -5.58106e-06
623 	 4.54572 	 -5.60729e-06
624 	 3.76365 	 -5.63622e-06
625 	 4.00927 	 -5.65974e-06
626 	 2.18113 	 -5.68644e-06
627 	 4.52604 	 -5.70679e-06
628 	 3.70304 	 -5.74748e-06
629 	 5.18917 	 -5.76528e-06
630 	 3.84865 	 -5.79834e-06
631 	 1.62346 	 -5.81614e-06
632 	 3.49326 	 -5.85175e-06
633 	 2.57637 	 -5.87463e-06
634 	 2.16768 	 -5.90134e-06
635 	 1.28678 	 -5.92899e-06
636 	 0.375568 	 -5.95546e-06
637 	 2.02274 	 -5.98303e-06
638 	 2.478 	 -6.01133e-06
639 	 3.09928 	 -6.04057e-06
640 	 1.9802 	 -6.06664e-06
641 	 3.33031 	 -6.09525e-06
642 	 3.85926 	 -6.12322e-06
643 	 4.21606 	 -6.15199e-06
644 	 3.43789 	 -6.18156e-06
645 	 1.3467 	 -6.20953e-06
646 	 1.72863 	 -6.23862e-06
647 	 0.467731 	 -6.26755e-06
648 	 0.678438 	 -6.29791e-06
649 	 -1.36943 	 -6.32731e-06
650 	 0.657108 	 -6.35775e-06
651 	 0.725145 	 -6.38707e-06
652 	 -0.776066 	 -6.41481e-06
653 	 -0.691647 	 -6.44604e-06
654 	 -0.410141 	 -6.47577e-06
655 	 -0.675535 	 -6.50708e-06
656 	 0.900219 	 -6.53632e-06
657 	 0.628057 	 -6.567e-06
658 	 3.53844 	 -6.59736e-06
659 	 1.67372 	 -6.6282e-06
660 	 1.15347 	 -6.65808e-06
661 	 1.20522 	 -6.68955e-06
662 	 0.501585 	 -6.72086e-06
663 	 0.546768 	 -6.75217e-06
664 	 -0.402981 	 -6.78444e-06
665 	 -0.174053 	 -6.81583e-06
666 	 0.414145 	 -6.84722e-06
667 	 -1.00903 	 -6.87989e-06
668 	 -1.27037 	 -6.91017e-06
669 	 -1.05556 	 -6.94378e-06
670 	 -0.997152 	 -6.97501e-06
671 	 -2.23758 	 -7.00776e-06
672 	 -2.79613 	 -7.04082e-06
673 	 -2.49281 	 -7.07316e-06
674 	 -4.16268 	 -7.10694e-06
675 	 -2.06306 	 -7.13936e-06
676 	 -2.28226 	 -7.1729e-06
677 	 -2.28254 	 -7.20723e-06
678 	 -1.97713 	 -7.24045e-06
679 	 -2.68685 	 -7.27407e-06
680 	 -2.10349 	 -7.30864e-06
681 	 -1.47691 	 -7.34297e-06
682 	 -2.06294 	 -7.37651e-06
683 	 -0.638908 	 -7.41108e-06
684 	 -0.594332 	 -7.44621e-06
